Id,first_weigh_in,last_weigh_in,weight_diff_kg,weight_diff_lb
1503960366,5/2/2016 23:59:59,5/3/2016 23:59:59,0,0
5577150313,4/17/2016 9:17:55,4/17/2016 9:17:55,0,0
1927972279,4/13/2016 1:08:52,4/13/2016 1:08:52,0,0
6962181067,4/12/2016 23:59:59,5/12/2016 23:59:59,1.5,3.306934
4319703577,4/17/2016 23:59:59,5/4/2016 23:59:59,0.09999848,0.2204589
8877689391,4/12/2016 6:47:11,5/12/2016 6:42:53,1.80000305,3.9683275
4558609924,4/18/2016 23:59:59,5/9/2016 23:59:59,1.20000458,2.6455572
2873212765,4/21/2016 23:59:59,5/12/2016 23:59:59,0.59999848,1.3227703
